"slug","clics","impresiones","ctr","posicion"
"concepcion/motel-cruz-656","1","38","2.63%","4103"
"antofagasta/motel-romances-suites-antofagasta","1","38","2.63%","1979"
"osorno/motel-paraiso-osorno","0","37","0%","1262"
"pudahuel/motel-aeropuerto-pudahuel","1","37","2.7%","1635"
"san-joaquin/motel-cozumel-san-joaquin","0","37","0%","3811"
"temuco/motel-new-tekena","0","37","0%","3297"
"vina-del-mar/motel-bahia","1","36","2.78%","1061"
"coronel/motel-iguazu-coronel","1","36","2.78%","1372"
"calama/motel-paraiso-calama","0","36","0%","28"
"temuco/motel-geminis-temuco","0","36","0%","1075"
"santiago/motel-galaxia-santiago","1","35","2.86%","1143"
"puerto-montt/motel-el-tepual-puerto-montt","1","35","2.86%","3446"
"antofagasta/motel-el-cairo","0","34","0%","2888"
"punta-arenas/motel-platinium-punta-arenas","1","34","2.94%","1862"
"san-bernardo/motel-luna-y-miel-san-bernardo","1","33","3.03%","1945"
"san-joaquin/motel-monte-bello-san-joaquin","1","33","3.03%","1794"
"la-reina/motel-villa-alpina-la-reina","1","33","3.03%","1755"
"vina-del-mar/motel-encuentro-vina","0","31","0%","1565"
"antofagasta/motel-mediterraneo-inn","1","31","3.23%","1765"
"valdivia/motel-los-leones-valdivia","1","31","3.23%","3181"
"vina-del-mar/motel-marina-vina-del-mar","0","30","0%","2693"
"san-antonio/motel-moave-san-antonio","0","30","0%","129"
"quintero/motel-aguas-magicas-quintero","1","30","3.33%","1143"
"coquimbo/motel-corazon-coquimbo","0","30","0%","2983"
"quilpue/motel-la-cuncuna-quilpue","0","29","0%","4638"
"valparaiso/motel-puerto-principal-valparaiso","0","29","0%","2824"
"maipu/motel-aerotel-express-maipu","0","29","0%","6783"
"santiago/motel-ricardo-cumming-224-santiago","2","28","7.14%","1757"
"santiago/motel-san-francisco-22-santiago","0","28","0%","2561"
"la-florida/motel-luciernagas-la-florida","0","28","0%","2386"
"puente-alto/motel-el-trauco-puente-alto","1","28","3.57%","4411"
"vina-del-mar/motel-malibu-vina-del-mar","0","27","0%","2926"
"macul/motel-cozumel-vicuna-macul","0","27","0%","5774"
"providencia/motel-holley-providencia","0","27","0%","49"
"valparaiso/motel-arbolitos-valparaiso","1","26","3.85%","3035"
"providencia/motel-apolo-providencia","0","25","0%","3464"
"la-cisterna/motel-ensueno-la-cisterna","0","25","0%","1856"
"concepcion/motel-el-parque-concepcion","0","24","0%","7608"
"la-granja/motel-okoa-la-granja","0","24","0%","1888"
"arica/motel-cabanas-del-rio","0","24","0%","3888"
"san-vicente/motel-los-naranjos-san-vicente","1","24","4.17%","2229"
"valparaiso/motel-pasion-portena-valparaiso","0","24","0%","1479"
"quilpue/motel-2000-quilpue","0","24","0%","3421"
"melipilla/motel-la-fuente-del-desire","2","23","8.7%","1143"
"concepcion/motel-las-torres-coronel","0","23","0%","7374"
"san-bernardo/motel-los-naranjos-san-bernardo","0","23","0%","5587"
"santiago/motel-kalipso-santiago","0","23","0%","1565"
"victoria/motel-belen-victoria","0","23","0%","1896"
"arica/motel-babilonia","1","23","4.35%","137"
"santiago/motel-sol-y-luna-santiago","0","22","0%","2482"
"la-pintana/motel-maromas-la-pintana","0","22","0%","1636"
"la-cisterna/motel-veracruz-la-cisterna","4","22","18.18%","1464"
"antofagasta/motel-jg-antofagasta","1","22","4.55%","4132"
"santa-cruz/motel-luna-nueva-santa-cruz","0","22","0%","3595"
"los-angeles/motel-cantarrana-los-angeles","0","22","0%","3823"
"concepcion/motel-fish-concepcion","0","22","0%","1523"
"iquique/motel-eclipse-iquique","0","21","0%","281"
"quinta-normal/motel-el-refugio-de-alsino-quinta-normal","1","21","4.76%","1167"
"la-cisterna/motel-los-troncos-la-cisterna","0","21","0%","2805"
"providencia/motel-marin-014-providencia","0","21","0%","5129"
"vina-del-mar/motel-kiss-marbella","2","20","10%","64"
"rancagua/motel-boutique","0","20","0%","51"
"quilpue/motel-torreon-quilpue","0","20","0%","3605"
"santiago/motel-primavera-santiago","1","20","5%","945"
"vina-del-mar/motel-md-vina-del-mar","2","20","10%","1405"
"pudahuel/motel-aerotel-tradition-pudahuel","0","20","0%","486"
"vina-del-mar/hostal-o-pension-motel-adeux","0","19","0%","2116"
"melipilla/motel-jardin-secreto-melipilla","1","19","5.26%","2711"
"punta-arenas/motel-eros-punta-arenas","0","19","0%","1495"
"arica/motel-eclipse-de-luna-arica","0","18","0%","2483"
"la-granja/motel-el-trauco-the-farm-the-farm","0","18","0%","4878"
"san-bernardo/motel-la-piramide-san-bernardo","0","18","0%","5933"
"la-reina/motel-internacional-la-reina","0","18","0%","5017"
"santiago/motel-rosas-2222-santiago","0","18","0%","2167"
"san-joaquin/motel-campanella-san-joaquin","0","18","0%","2189"
"villa-alemana/motel-tantra-villa-alemana","0","18","0%","2261"
"la-reina/motel-los-arbolitos-la-reina","0","17","0%","4488"
"angol/motel-nahuen-angol","0","17","0%","2535"
"coquimbo/motel-no-se-coquimbo-moteles-chili","1","17","5.88%","3765"
"puerto-montt/motel-cabanas-kineco-puerto-montt","0","17","0%","4582"
"coquimbo/motel-los-lagos-coquimbo","0","17","0%","4241"
"la-florida/motel-florida-la-florida","0","17","0%","5353"
"la-cisterna/motel-pilares-del-amor-la-cisterna","2","17","11.76%","2035"
"concepcion/motel-manquimavida","0","16","0%","4538"
"valdivia/motel-las-brujas-valdivia","0","16","0%","5388"
"santiago/motel-la-cascada-santiago","0","16","0%","4919"
"concepcion/motel-paradiso-concepcion","0","15","0%","146"
"los-andes/motel-cau-cau-los-andes","0","15","0%","4593"
"providencia/motel-ah-express-providencia","0","15","0%","1087"
"la-florida/motel-ipanema-la-florida","0","15","0%","5333"
"la-florida/motel-los-grillos-la-florida","0","15","0%","1913"
"molina/motel-laguna-verde","0","14","0%","3793"
"concepcion/motel-vitara-concepcion","0","14","0%","525"
"punta-arenas/motel-borde-rio-punta-arenas","0","14","0%","2257"
"recoleta/motel-kankun-recoleta","0","14","0%","2007"
"santiago/motel-miraflores-santiago","0","13","0%","12"
"angol/motel-bellavista-angol","0","13","0%","6"
